Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
Adprh,130.1176965,-0.369503901,0.774048623,0.202966593,-1.820515856,0.068680484,0.382053903,1.163166653
Adrb2,90.07037088,-0.627289065,0.647391772,0.292981594,-2.141052811,0.032269779,0.250788463,1.491204009
Adtrp,1383.265935,0.554007694,1.468158465,0.165970761,3.337983687,0.000843887,0.022572719,3.073715703
Aebp1,123.4825281,-0.726333207,0.60443822,0.237129422,-3.06302441,0.002191122,0.043894672,2.659333441
AF251705,320.9213841,-0.461410336,0.726275926,0.183565807,-2.513596317,0.011950714,0.134128411,1.922606147
Afap1,61.39203378,-0.489594211,0.712225398,0.251593505,-1.945973172,0.051657962,0.325534448,1.286862732
Afm,1861.134429,0.815989993,1.760505816,0.203116935,4.017341013,5.89E-05,0.002992405,4.229884705
Afp,21.47179995,-0.477467094,0.71823751,0.293588735,-1.626312719,0.103883147,0.467272769,0.983454902
Agmat,1484.91998,0.332664491,1.259337078,0.170116718,1.95550735,0.050523217,0.322202283,1.296509004
Agmo,979.3152264,0.380338627,1.30164734,0.1589492,2.39283134,0.016718925,0.167071415,1.77679165
Ago3,43.64866754,0.451366476,1.367334741,0.267866321,1.685043773,0.091980127,0.441428505,1.036305995
